id,object_id,valuation_amount,raised_amount,public_at,stock_symbol,source_description,created_at,updated_at,ipo_year,ipo_month
170,c:34190,98000000.0,0.0,2009-07-30,NASDAQ:GSM,,2009-10-19 21:48:26,2009-10-19 21:48:26,2009,7
171,c:34191,320000000.0,0.0,2009-07-30,NYSE:PMT,,2009-10-19 21:58:27,2009-10-19 21:58:27,2009,7
174,c:34617,0.0,0.0,2008-09-29,NASDAQ:CYDE,,2009-10-27 19:54:15,2013-10-03 10:05:10,2008,9
175,c:34674,0.0,0.0,2000-12-15,NASDAQ:GRMN,,2009-10-28 21:13:14,2012-04-16 03:15:41,2000,12
176,c:25118,0.0,0.0,2005-01-01,TOM2.AS,,2009-10-28 21:36:54,2009-10-28 21:36:54,2005,1
177,c:2823,0.0,0.0,1987-06-16,NYSE:EFX,,2009-11-03 02:37:09,2012-02-27 07:07:16,1987,6
182,c:35429,0.0,0.0,1978-01-13,NASDAQ:AMAT,,2009-11-10 06:18:26,2012-04-16 02:24:18,1978,1
183,c:31103,0.0,0.0,2000-01-01,NASDAQ:LIFE,,2009-11-11 00:44:47,2012-04-11 03:49:35,2000,1
192,c:26802,0.0,0.0,2000-08-08,NASDAQ:TSYS,,2009-11-17 05:28:48,2013-03-09 02:32:57,2000,8
195,c:36312,0.0,0.0,2006-04-18,OTC:VSUL,,2009-11-24 02:12:24,2013-10-28 05:25:48,2006,4
201,c:10614,30000000.0,0.0,2010-02-10,NYSE:INUV,,2009-11-30 04:33:12,2010-02-10 23:45:04,2010,2
209,c:35967,0.0,0.0,2009-12-03,BIT:YOOX,,2009-12-06 01:41:37,2009-12-06 01:41:37,2009,12
212,c:30039,1242000.0,156300000.0,2009-11-01,NASDAQ:FTNT,Fortinet IPO prices above range,2009-12-08 06:28:12,2012-08-23 19:12:58,2009,11
215,c:36983,0.0,33000000.0,1998-07-17,NASDAQ:BIRT,Company IPO Overview,2009-12-09 00:59:49,2012-06-25 22:28:35,1998,7
218,c:37366,10400000.0,0.0,2012-03-23,NASDAQ:GALT,"Galectin prices offering, expects $10.4M in proceeds",2009-12-11 06:49:47,2012-03-24 01:44:10,2012,3
225,c:14900,0.0,0.0,1997-05-23,NASDAQ:RMBS,,2009-12-15 06:59:21,2012-02-24 20:38:49,1997,5
233,c:37799,2300000000.0,0.0,2009-12-04,916:HK,,2009-12-17 05:11:39,2009-12-17 05:11:39,2009,12
248,c:38756,0.0,0.0,1996-07-08,CAMH,,2009-12-30 05:59:05,2013-09-04 06:17:40,1996,7
258,c:2680,0.0,0.0,1986-03-21,NASDAQ:ORCL,,2010-01-06 09:57:04,2012-04-12 04:13:53,1986,3
273,c:30504,0.0,0.0,2006-06-30,NYSE:SAI,,2010-01-15 02:37:18,2011-11-13 18:46:34,2006,6
280,c:40322,0.0,0.0,1990-01-02,NYSE:CACI,,2010-01-21 06:27:50,2013-10-09 13:42:03,1990,1
282,c:40453,108000000.0,0.0,2005-02-08,GRVY,,2010-01-23 01:58:50,2010-01-24 01:33:56,2005,2
283,c:7741,0.0,0.0,2007-01-01,GA,,2010-01-23 02:29:46,2010-01-24 01:40:53,2007,1
293,c:17933,0.0,0.0,2009-11-20,NASDAQ:ARCL,,2010-02-07 19:08:42,2010-02-08 19:22:54,2009,11
295,c:41914,0.0,0.0,1990-07-29,NASDAQ:VOXX,,2010-02-14 02:05:32,2011-11-12 23:29:27,1990,7
296,c:9580,44000000.0,0.0,2000-02-22,PNG,,2010-02-16 01:52:39,2010-02-16 02:14:17,2000,2
298,c:42009,0.0,0.0,1994-01-03,NASDAQ:QSII,,2010-02-16 03:17:53,2013-11-15 11:03:17,1994,1
300,c:21154,0.0,0.0,1999-04-26,NYSE:IRM,,2010-02-23 03:44:30,2013-08-29 05:02:31,1999,4
301,c:36845,1020000000.0,0.0,1998-01-01,DRIV,,2010-03-01 06:05:38,2010-03-01 06:21:34,1998,1
302,c:42425,0.0,0.0,2010-03-01,NASDAQ:ANTH,,2010-03-01 21:48:28,2010-03-01 21:52:44,2010,3
305,c:304,0.0,0.0,1978-01-13,NYSE:SNE,,2010-03-03 05:26:00,2012-04-13 03:48:24,1978,1
307,c:41805,0.0,0.0,2009-10-01,OTCBB:GCMI,,2010-03-08 19:49:59,2010-03-08 19:54:04,2009,10
